Name,Descripcion,Dtype,Tabla
row_id,Identificador unico de linea,int64,CPTEVENTS
subject_id,Identificador para los pacientes,int64,CPTEVENTS
hadm_id,Identificador para las admiciones,int64,CPTEVENTS
costcenter,Centro que registra el codigo[ejemplo: UCI o unidad respiratoria],object,CPTEVENTS
chartdate,Fecha en que ocurrio el evento,object,CPTEVENTS
cpt_cd,algun codigo,int64,CPTEVENTS
cpt_number,Codigo de terminologia procesal actual,int64,CPTEVENTS
cpt_suffix,"Elemento del texto del codigo CPT, indica la categoria del codigo",float64,CPTEVENTS
ticket_id_seq,"Numero de secuencia del evento, derivado de la identificacion del boleto",float64,CPTEVENTS
sectionheader,Seccion de alto nivel del codigo CPT,object,CPTEVENTS
subsectionheader,Subseccion del codigo CPT,object,CPTEVENTS
description,Descripcion de la terminologia Procesal actual,object,CPTEVENTS
