Name,Descripcion,Dtype,Tabla
row_id,Identificador de linea,int64,INPUTEVENTS_MV
subject_id,Identificador para los pacientes,int64,INPUTEVENTS_MV
hadm_id,Identificador para las admiciones,int64,INPUTEVENTS_MV
icustay_id,Identificador de estancia,int64,INPUTEVENTS_MV
starttime,Tiempo de inicio del evento,object,INPUTEVENTS_MV
endtime,Tiempo de fin del evento,object,INPUTEVENTS_MV
itemid,Identificador de item,int64,INPUTEVENTS_MV
amount,Cantidad del item suministrada al paciente,float64,INPUTEVENTS_MV
amountuom,Unidad de medida de la cantidad,object,INPUTEVENTS_MV
rate,Velocidad a la que se suministra el item al paciente,float64,INPUTEVENTS_MV
rateuom,Unidad de medida de la velocidad,object,INPUTEVENTS_MV
storetime,Tiempo en que se registro el evento en el sistema,object,INPUTEVENTS_MV
cgid,Identificador del cuidador,int64,INPUTEVENTS_MV
orderid,Identificador que vincula elementos que se agrupan en una solucion,int64,INPUTEVENTS_MV
linkorderid,Identificador que vincula pedidos a traves de multiples administraciones,int64,INPUTEVENTS_MV
ordercategoryname,Grupo al que corresponde el item,object,INPUTEVENTS_MV
secondaryordercategoryname,Grupo secondario para aquellos items con mas de una agrupacion,object,INPUTEVENTS_MV
ordercomponenttypedescription,La funcion del item administrado,object,INPUTEVENTS_MV
ordercategorydescription,Tipo de item administrado,object,INPUTEVENTS_MV
patientweight,Peso del paciente para el calculo de la medicacion,float64,INPUTEVENTS_MV
totalamount,Cantidad total en la solucion para el articulo dado,float64,INPUTEVENTS_MV
totalamountuom,Unidad de medida para la cantidad total del item,object,INPUTEVENTS_MV
isopenbag,Indica si la bolsa que contiene la solucion esta abierta,int64,INPUTEVENTS_MV
continueinnextdept,Indica si el item continuara o si se transfiere,int64,INPUTEVENTS_MV
cancelreason,Razon de cancelacion,int64,INPUTEVENTS_MV
statusdescription,"Estado actual del pedido: Detenido, Reescrito, en ejecucion, cancelado",object,INPUTEVENTS_MV
comments_editedby,Titulo del cuidador que edito la orden,object,INPUTEVENTS_MV
comments_canceledby,Titulo del cuidador que cancelo la orden,object,INPUTEVENTS_MV
comments_date,Hora en que el cuidador cancelo o edito la orden,object,INPUTEVENTS_MV
originalamount,Cantidad del item que se registro originalmente,float64,INPUTEVENTS_MV
originalrate,Velocidad elegida originalmente para el item,float64,INPUTEVENTS_MV
