Name,Descripcion,Dtype,Tabla
row_id,Identificador unico de linea,NO DATA,NOTEEVENTS
subject_id,Identificador para los pacientes,NO DATA,NOTEEVENTS
hadm_id,Identificador para las admiciones,NO DATA,NOTEEVENTS
chartdate,Fecha en que se hizo la nota,NO DATA,NOTEEVENTS
charttime,Fecha y hora en que se trazo la nota,NO DATA,NOTEEVENTS
storetime,Hora en que se registro el evento en el sistema,NO DATA,NOTEEVENTS
category,Categoria de la nota,NO DATA,NOTEEVENTS
description,Categorizacion mas detallada de la nota,NO DATA,NOTEEVENTS
cgid,Identificador del cuidador,NO DATA,NOTEEVENTS
iserror,Marca para resaltar un error con la nota,NO DATA,NOTEEVENTS
text,Contenido de la nota,NO DATA,NOTEEVENTS
